id,course_name,teacher_name
1,ITのための基礎知識,中谷 祐介、青山 暢
2,インターネット入門,中谷 祐介
3,コンピュータのための基礎数学,鈴木 秀男、青山 暢
4,プログラミング入門,田中 頼人
5,コンピュータ入門,清尾 克彦、田中 頼人
6,インターネット技術Ⅰ,橋本 匡史
7,Web入門,中島 俊治
8,情報セキュリティ入門,伊本 貴士、竹田 栄作
9,アルゴリズムとデータ構造,松本 幸子
10,Cプログラミング演習,松本 幸子
11,ソフトウェア開発論Ⅰ,中谷 祐介、陳 健
12,情報処理のための基礎知識,松本 幸子
13,UNIX入門,陳 健
14,ビジネス事例から学ぶ統計入門,青山 暢
15,プロジェクトマネジメント入門,勝　眞一郎
16,企業経営入門,馬場 研二
17,会計簿記入門,矢野 真紀
18,経済学入門,石川 秀樹
19,情報端末とネットサービス入門,伊本 貴士、川原 洋
20,ビジネス法務入門,山﨑 雄一郎、吉田 直可
21,サービステクノロジー論,川原　洋
22,IoT入門,清尾 克彦
23,起業入門,馬場 研二
24,マーケティング入門,小宮 紳一
25,経営組織論,深田 智史
26,マクロ経済学,石川 秀樹
27,管理会計,廣住 成洋
28,リスク管理と監査,原田 要之助
29,データベース論,安間 文彦
30,ソフトウェア工学,安間 文彦
31,インターネット技術Ⅱ,陳 健、橋本 匡史
32,Web応用,中島 俊治
33,情報セキュリティマネジメント,竹田 栄作
34,情報セキュリティ応用,鈴木 耕二
35,暗号技術と情報セキュリティ,鈴木 耕二
36,ソフトウェア開発論Ⅱ,中谷 祐介
37,UNIXサーバ構築Ⅱ,鈴木 秀男
38,統計解析とデータマイニング,安間 文彦
39,AIアルゴリズム,安間 文彦
40,AIプログラミング,田中 頼人
41,Pythonプログラミング演習,鶴長 鎮一
42,ネットワーク実践論,小島 一憲
43,コーポレート・ファイナンス,馬場 研二
44,情報化社会とテクノロジー,川原　洋
45,ITプロジェクトマネジメント講義,勝 眞一郎
46,業務アプリケーションの進化と開発,勝 眞一郎
47,地域マーケティング論,北村 森
48,商品企画論,北村 森
49,経営戦略,深田 智史
50,ネットマーケティング論,播磨 知巳
51,eコマース実践論,森戸 裕一
52,事業創造詳論,馬場 研二
53,ITプロジェクトマネジメント演習,勝 眞一郎
54,ゼミナール 中島,中島 俊治
55,ゼミナール 竹田,竹田 栄作
56,ゼミナール 鈴木 耕二,鈴木 耕二
57,ゼミナール 中谷,中谷 祐介
58,ゼミナール 松本,松本 幸子
59,ゼミナール 清尾,清尾 克彦、大江 信宏
60,ゼミナール 安間,安間 文彦
61,ゼミナール 田中 頼人,田中 頼人
62,ゼミナール 勝,勝 眞一郎
63,ゼミナール 石川,石川 秀樹
64,ゼミナール 馬場,馬場 研二
65,ゼミナール 小宮 紳一,小宮 紳一
66,ゼミナール 森戸,森戸 裕一
67,ゼミナール 北村,北村 森
68,ゼミナール 川原,川原 洋、高林 友美
69,特別研究Ⅰ 清尾,清尾 克彦
70,特別研究Ⅰ 鈴木 耕二,鈴木 耕二
71,特別研究Ⅰ 中谷,中谷 祐介
72,特別研究Ⅰ 安間,安間 文彦
73,特別研究Ⅰ 勝,勝 眞一郎
74,特別研究Ⅰ 馬場,馬場 研二
75,特別研究Ⅱ 清尾,清尾 克彦
76,特別研究Ⅱ 中谷,中谷 祐介
77,特別研究Ⅱ 安間,安間 文彦
78,特別研究Ⅱ 勝,勝 眞一郎
79,特別研究Ⅱ 石川,石川 秀樹
80,スタディスキル入門,米山 あかね
81,スタディスキル実践,藤田 光治
82,ITによる知的生産術,勝 眞一郎
83,キャリア入門,森戸 裕一
84,セルフマネジメント論,小松 俊明
85,コミュニケーション論,加藤 恭子
86,ロジカルシンキング,奥村 隆一
87,文書作成と表計算 ～Word・Excel活用～,藤田 礼子
88,ファイナンシャル・プランニング入門,市川 雄一郎
89,博物学,荒俣 宏
90,我々の宇宙,和田　浩二
91,暮らしの中の物理学,島 弘幸
92,化学入門,安田 章夫
93,地球科学入門,鵜澤 由香
94,宗教と建築からみたインドネシア文化,小野 邦彦
95,住まいの文化史,後藤 久
96,韓流文化論,李 修京
97,心理学入門,栗延 紗也香
98,日本文学入門 ～文化と歴史から学ぶ～,大内 瑞恵
99,日本の伝統芸能,倉持 長子
100,世界遺産でたどる日本の歴史,細川 武稔
101,和食文化論,福留 奈美
102,キリスト教文化Ⅰ,石黒 マリーローズ
103,企業環境学―企業経営と環境取り組み―,三吉　正芳
104,流通経営論,似鳥 昭雄
105,メディア情報文化論,松本 健太郎
106,政治学入門,加藤 創太
107,就職活動実践演習,廣岡 マヒコ、稲田 環菜
108,プレゼンテーション入門,前田 鎌利
109,リーダーシップ概論,森戸 裕一
110,キャリアデザイン,小松 俊明
111,ロジカルライティング,倉持 長子
112,Webデザイン入門,栗山 浩一
113,資産運用実践論,市川 雄一郎
114,AI（人工知能）入門,松原 仁
115,脳科学入門,新谷 隆史
116,物理学入門,島 弘幸
117,健康管理入門,北 徹朗
118,人工衛星入門 ～宇宙の総合エンジニアリング～,宮崎 康行
119,防災論入門,石渡 幹夫
120,医療・ヘルスケアとIT,花之内 健仁
121,アンコール遺跡を中心とした文化遺産の保存修復,中川 武
122,西洋音楽史,三枝 成彰
123,講談の世界,神田 紅
124,「使いやすさ」の心理学 ～デザインとユーザビリティ～,栗延 紗也香
125,日本語文化論,見城 美枝子
126,宗教学入門,小野 邦彦
127,西洋建築 歴史の旅,西本　真一
128,日本の心と異文化理解,中村 知恵
129,キリスト教文化Ⅱ,石黒 マリーローズ
130,写真・映像制作の基礎,神林　優
131,ゲームの歴史と未来,西村　亨
132,ソーシャルメディア概論,神田 敏晶
133,日本人はテレビをどう食べたか?～制作現場からのテレビ映像論～,佐藤　孝吉
134,社会保障入門,奥村 隆一
135,スポーツビジネスのしくみ,小林 至
136,社会学入門,庄司 武史
137,コンビニ経済学 ～コンビニを見たら日本が分かる～,渡辺 広明
138,地域おこし実践論,北村 森
139,基礎英語Ⅰ,靱江 静、白須 洋子、井上 麻里
140,基礎英語Ⅱ,靱江 静、白須 洋子、井上 麻里
141,中級英語Ⅰ,石巻 賢作、白須 洋子、井上 麻里
142,中級英語Ⅱ,石巻 賢作、白須 洋子、井上 麻里
143,上級英語Ⅰ-A,白須 洋子、石巻 賢作、井上 麻里
144,上級英語Ⅰ-B,白須 洋子、石巻 賢作、井上 麻里
145,上級英語Ⅱ-A,白須 洋子、石巻 賢作、井上 麻里
146,中国語入門A,任 鉄華
147,中国語応用B,任 鉄華
